event_key,source,source_event_id,source_series_id,datetime_utc,date_label,time_label,time_is_exact,country,currency,title,category,impact,actual,forecast,previous,revised_previous,unit,actual_raw,forecast_raw,previous_raw,revised_previous_raw,surprise,surprise_pct,source_better_worse,source_url,fetched_at_utc
forexfactory:139459,forexfactory,139459,392,2024-01-01T06:00:00Z,"Jan 1, 2024",All Day,False,SZ,CHF,Bank Holiday,OTHER,holiday,,,,,,,,,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:139460,forexfactory,139460,396,2024-01-01T07:01:00Z,"Jan 1, 2024",All Day,False,FR,EUR,French Bank Holiday,OTHER,holiday,,,,,,,,,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:139435,forexfactory,139435,391,2024-01-01T07:02:00Z,"Jan 1, 2024",All Day,False,GE,EUR,German Bank Holiday,OTHER,holiday,,,,,,,,,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:139461,forexfactory,139461,397,2024-01-01T07:03:00Z,"Jan 1, 2024",All Day,False,IT,EUR,Italian Bank Holiday,OTHER,holiday,,,,,,,,,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:139462,forexfactory,139462,390,2024-01-01T08:00:00Z,"Jan 1, 2024",All Day,False,UK,GBP,Bank Holiday,OTHER,holiday,,,,,,,,,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:136575,forexfactory,136575,370,2024-01-01T13:00:00Z,"Jan 1, 2024",All Day,False,US,USD,Bank Holiday,OTHER,holiday,,,,,,,,,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:136707,forexfactory,136707,389,2024-01-01T13:00:00Z,"Jan 1, 2024",All Day,False,CA,CAD,Bank Holiday,OTHER,holiday,,,,,,,,,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:137269,forexfactory,137269,395,2024-01-01T20:00:00Z,"Jan 1, 2024",All Day,False,NZ,NZD,Bank Holiday,OTHER,holiday,,,,,,,,,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:139476,forexfactory,139476,393,2024-01-02T00:00:00Z,"Jan 1, 2024",All Day,False,JN,JPY,Bank Holiday,OTHER,holiday,,,,,,,,,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:133379,forexfactory,133379,116,2024-01-02T00:01:00Z,"Jan 1, 2024",6:01pm,True,UK,GBP,BRC Shop Price Index y/y,OTHER,low,4.3,,4.3,,%,4.3%,,4.3%,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:135096,forexfactory,135096,448,2024-01-02T01:45:00Z,"Jan 1, 2024",7:45pm,True,CH,CNY,RatingDog Manufacturing PMI,OTHER,medium,50.8,50.4,50.7,,,50.8,50.4,50.7,,0.4,0.007937,1,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:137402,forexfactory,137402,245,2024-01-02T05:30:00Z,"Jan 1, 2024",11:30pm,True,AU,AUD,Commodity Prices y/y,OTHER,low,-10.7,,-10.5,-12.8,%,-10.7%,,-10.5%,-12.8%,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:139475,forexfactory,139475,392,2024-01-02T06:00:00Z,"Jan 2, 2024",All Day,False,SZ,CHF,Bank Holiday,OTHER,holiday,,,,,,,,,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:134517,forexfactory,134517,557,2024-01-02T08:15:00Z,"Jan 2, 2024",2:15am,True,SP,EUR,Spanish Manufacturing PMI,OTHER,low,46.2,46.3,46.3,,,46.2,46.3,46.3,,-0.1,-0.00216,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:134627,forexfactory,134627,547,2024-01-02T08:45:00Z,"Jan 2, 2024",2:45am,True,IT,EUR,Italian Manufacturing PMI,OTHER,low,45.3,44.3,44.4,,,45.3,44.3,44.4,,1.0,0.022573,1,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:134628,forexfactory,134628,617,2024-01-02T08:50:00Z,"Jan 2, 2024",2:50am,True,FR,EUR,French Final Manufacturing PMI,OTHER,low,42.1,42.0,42.0,,,42.1,42.0,42.0,,0.1,0.002381,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:134629,forexfactory,134629,618,2024-01-02T08:55:00Z,"Jan 2, 2024",2:55am,True,GE,EUR,German Final Manufacturing PMI,OTHER,low,43.3,43.1,43.1,,,43.3,43.1,43.1,,0.2,0.00464,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:132512,forexfactory,132512,375,2024-01-02T09:00:00Z,"Jan 2, 2024",3:00am,True,EZ,EUR,M3 Money Supply y/y,OTHER,low,-0.9,-1.0,-1.0,,%,-0.9%,-1.0%,-1.0%,,0.1,0.1,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:132513,forexfactory,132513,365,2024-01-02T09:00:00Z,"Jan 2, 2024",3:00am,True,EZ,EUR,Private Loans y/y,OTHER,low,0.5,0.8,0.6,,%,0.5%,0.8%,0.6%,,-0.3,-0.375,2,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:134630,forexfactory,134630,264,2024-01-02T09:00:00Z,"Jan 2, 2024",3:00am,True,EZ,EUR,Final Manufacturing PMI,OTHER,low,44.4,44.2,44.2,,,44.4,44.2,44.2,,0.2,0.004525,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:134631,forexfactory,134631,249,2024-01-02T09:30:00Z,"Jan 2, 2024",3:30am,True,UK,GBP,Final Manufacturing PMI,OTHER,low,46.2,46.4,46.4,,,46.2,46.4,46.4,,-0.2,-0.00431,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:137054,forexfactory,137054,629,2024-01-02T14:30:00Z,"Jan 2, 2024",8:30am,True,CA,CAD,Manufacturing PMI,OTHER,low,45.4,,47.7,,,45.4,,47.7,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:136843,forexfactory,136843,553,2024-01-02T14:45:00Z,"Jan 2, 2024",8:45am,True,US,USD,Final Manufacturing PMI,OTHER,low,47.9,48.4,48.2,,,47.9,48.4,48.2,,-0.5,-0.010331,2,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:137514,forexfactory,137514,602,2024-01-02T14:51:00Z,"Jan 2, 2024",8:51am,True,NZ,NZD,GDT Price Index,OTHER,low,1.2,,2.3,,%,1.2%,,2.3%,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:136132,forexfactory,136132,205,2024-01-02T15:00:00Z,"Jan 2, 2024",9:00am,True,US,USD,Construction Spending m/m,OTHER,low,0.4,0.6,0.6,1.2,%,0.4%,0.6%,0.6%,1.2%,-0.2,-0.333333,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:139485,forexfactory,139485,393,2024-01-03T00:00:00Z,"Jan 2, 2024",All Day,False,JN,JPY,Bank Holiday,OTHER,holiday,,,,,,,,,,,,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:134505,forexfactory,134505,561,2024-01-03T08:00:00Z,"Jan 3, 2024",2:00am,True,SP,EUR,Spanish Unemployment Change,OTHER,low,-27.4,-15.7,-24.6,,K,-27.4K,-15.7K,-24.6K,,-11.7,-0.745223,1,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
forexfactory:134537,forexfactory,134537,273,2024-01-03T08:30:00Z,"Jan 3, 2024",2:30am,True,SZ,CHF,Manufacturing PMI,OTHER,low,43.0,43.0,42.1,,,43.0,43.0,42.1,,0.0,0.0,0,https://www.forexfactory.com/calendar?month=jan.2024,2026-09-02T16:11:03Z
