datetime_utc,category,title,actual,forecast,surprise,surprise_pct,better_worse,t0_ny,t0_offset_min,t0_source,reaction_ratio,range5_pips,range_ratio,move_1m_pips,move_5m_pips,move_15m_pips,move_30m_pips,move_60m_pips,mfe_pips,mae_pips,direction,thesis
2026-01-09T13:30:00Z,NFP,Non-Farm Employment Change,50K,66K,-16.0,-0.242424,2,2026-01-09 08:30:00,0.0,spike,39.0,77.0,8.6,-9.0,16.0,20.0,11.0,-10.0,27.0,-58.0,1,match
2026-01-13T13:30:00Z,CPI,CPI m/m,0.3%,0.3%,0.0,0.0,0,2026-01-13 08:30:00,0.0,spike,43.8,50.0,5.6,26.0,24.0,19.0,19.0,14.0,48.0,-2.0,1,n/a
2026-01-14T13:30:00Z,PPI,PPI m/m,0.2%,0.2%,0.0,0.0,0,2026-01-14 09:41:00,71.0,spike,5.7,7.0,0.7,7.0,7.0,2.0,1.0,-7.0,10.0,-3.0,1,n/a
2026-01-22T15:00:00Z,PCE,Core PCE Price Index m/m,0.2%,0.2%,0.0,0.0,0,2026-01-22 09:51:00,-9.0,spike,5.9,8.0,0.7,5.0,8.0,12.0,33.0,39.0,33.0,1.0,1,n/a
2026-01-30T13:30:00Z,PPI,PPI m/m,0.5%,0.2%,0.3,1.5,1,2026-01-30 08:30:00,0.0,spike,10.6,17.0,1.2,-9.0,-4.0,-3.0,-12.0,-7.0,1.0,-20.0,-1,match
2026-02-11T13:30:00Z,NFP,Non-Farm Employment Change,130K,66K,64.0,0.969697,1,2026-02-11 08:30:00,0.0,spike,47.8,74.0,12.3,-64.5,-58.5,-37.5,-41.5,-30.5,0.5,-73.5,-1,match
2026-02-13T13:30:00Z,CPI,CPI m/m,0.2%,0.3%,-0.1,-0.333333,2,2026-02-13 08:30:00,0.0,spike,52.8,33.0,4.1,25.0,17.0,6.0,24.0,24.0,36.0,3.0,1,match
2026-02-20T13:30:00Z,PCE,Core PCE Price Index m/m,0.4%,0.3%,0.1,0.333333,1,2026-02-20 08:30:00,0.0,spike,13.7,26.0,2.4,3.0,-11.0,-9.0,0.0,-11.0,13.0,-18.0,-1,match
2026-02-27T13:30:00Z,PPI,PPI m/m,0.5%,0.3%,0.2,0.666667,1,2026-02-27 08:30:00,0.0,spike,13.9,16.0,1.8,-11.0,-11.0,-13.0,-19.0,0.0,-3.0,-24.0,-1,match
2026-03-06T13:30:00Z,NFP,Non-Farm Employment Change,-92K,58K,-150.0,-2.586207,2,2026-03-06 08:30:00,0.0,spike,21.4,38.0,2.4,17.0,25.0,24.0,-14.0,-13.0,40.0,-16.0,1,match
2026-03-11T12:30:00Z,CPI,CPI m/m,0.3%,0.3%,0.0,0.0,0,2026-03-11 07:50:00,-40.0,spike,16.3,16.0,1.8,6.0,4.0,-2.0,-6.0,-27.0,13.0,-9.0,-1,n/a
2026-03-13T12:30:00Z,PCE,Core PCE Price Index m/m,0.4%,0.4%,0.0,0.0,0,2026-03-13 09:03:00,33.0,spike,7.6,10.0,0.7,-2.0,-5.0,-4.0,-3.0,-3.0,3.0,-10.0,-1,n/a
2026-03-18T12:30:00Z,PPI,PPI m/m,0.7%,0.3%,0.4,1.333333,1,2026-03-18 08:30:00,0.0,spike,6.9,11.0,0.8,-9.0,-9.0,-15.0,-25.0,-19.0,-3.0,-28.0,-1,match
2026-04-03T12:30:00Z,NFP,Non-Farm Employment Change,178K,65K,113.0,1.738462,1,2026-04-03 08:30:00,0.0,spike,128.0,27.0,9.0,-14.0,-19.0,-14.0,-20.0,-20.0,-5.0,-32.0,-1,match
2026-04-09T12:30:00Z,PCE,Core PCE Price Index m/m,0.4%,0.4%,0.0,0.0,0,2026-04-09 08:41:00,11.0,spike,9.7,13.0,1.4,-1.0,-4.0,-1.0,2.0,13.0,8.0,-6.0,-1,n/a
2026-04-10T12:30:00Z,CPI,CPI m/m,0.9%,1.0%,-0.1,-0.1,2,2026-04-10 08:30:00,0.0,spike,37.4,17.0,3.4,11.0,10.0,11.0,10.0,27.0,23.0,6.0,1,match
2026-04-14T12:30:00Z,PPI,PPI m/m,0.5%,1.1%,-0.6,-0.545455,2,2026-04-14 09:20:00,50.0,spike,13.3,6.0,0.8,-1.0,-1.0,-4.0,3.0,4.0,3.0,-11.0,-1,miss
2026-04-30T12:30:00Z,PCE,Core PCE Price Index m/m,0.3%,0.3%,0.0,0.0,0,2026-04-30 08:30:00,0.0,anchor,4.3,10.0,0.7,5.0,0.0,-3.0,6.0,7.0,13.0,-5.0,-1,n/a
2026-05-08T12:30:00Z,NFP,Non-Farm Employment Change,115K,65K,50.0,0.769231,1,2026-05-08 08:30:00,0.0,spike,12.7,24.0,3.0,-1.0,14.0,11.0,3.0,10.0,14.0,-10.0,1,miss
2026-05-12T12:30:00Z,CPI,CPI m/m,0.6%,0.6%,0.0,0.0,0,2026-05-12 09:20:00,50.0,spike,10.8,10.0,0.6,-4.0,-1.0,-5.0,-13.0,2.0,6.0,-14.0,-1,n/a
2026-05-13T12:30:00Z,PPI,PPI m/m,1.4%,0.5%,0.9,1.8,1,2026-05-13 08:30:00,0.0,spike,11.7,15.0,1.8,-10.0,-1.0,-3.0,-6.0,0.0,1.0,-14.0,-1,match
2026-05-28T12:30:00Z,PCE,Core PCE Price Index m/m,0.2%,0.3%,-0.1,-0.333333,2,2026-05-28 08:30:00,0.0,spike,19.8,13.0,3.3,8.0,8.0,11.0,11.0,9.0,17.0,1.0,1,match
2026-06-05T12:30:00Z,NFP,Non-Farm Employment Change,172K,85K,87.0,1.023529,1,2026-06-05 08:30:00,0.0,spike,29.4,31.0,6.2,-21.0,-25.0,-33.0,-60.0,-58.0,2.0,-60.0,-1,match
2026-06-10T12:30:00Z,CPI,CPI m/m,0.5%,0.5%,0.0,0.0,0,2026-06-10 08:30:00,0.0,spike,33.7,21.0,3.0,6.0,4.0,13.0,0.0,12.0,19.0,-3.0,1,n/a
2026-06-11T12:30:00Z,PPI,PPI m/m,1.1%,0.7%,0.4,0.571429,1,2026-06-11 08:22:00,-8.0,spike,34.3,19.0,6.3,-16.0,-14.0,-14.0,-1.0,-21.0,0.0,-21.0,-1,match
2026-06-25T12:30:00Z,PCE,Core PCE Price Index m/m,0.3%,0.3%,0.0,0.0,0,2026-06-25 08:30:00,0.0,spike,14.5,18.0,3.6,18.0,12.0,28.0,20.0,40.0,30.0,2.0,1,n/a
